Route Key,(DON'T) Let Them Eat Cake!,,,,
Setting,John's kitchen,,,,
ID,Route,Speaker Name,Sprite,Text,Choices
0,,,,"After somehow deciphering John's incoherent texts, you find yourself standing at the edge of John's kitchen, mortified at the display before you.",
1,,,,There are eggs splattered on the walls. There's a blackened spot on the ceiling which you could only assume is a remnant of a fire but... How? It's not even above the stove!,
2,,,,"A broken skillet lays on the floor with its handle embedded in the wall. A corner of the counter is missing, unable to be found on the floor, walls, or ceiling.",
3,,,,The only victor in this post-war wasteland is a chocolate cake sitting in the center of it all on the kitchen island. You swear its sparkling.,
4,,,,"John stands protectively in front of the stove, holding a carton of eggs. Across from him stands William wielding a frying pan.",
5,,,,"The only thing that stands between the two is the kitchen island, the triumphant cake in the middle of their standoff.",
6,,,,MF versus three raccoons in a trenchcoat.,
7,,MF,Neutral,"Wiwum... Let's be civil... We can talk about this, right?",
8,,Wiwum,Neutral,...,
9,,,,William raises the frying pan.,
10,,MF,Neutral,Wiwum.,
11,,Wiwum,Neutral,...,
12,,MF,Neutral,...,
13,,Wiwum,Angry,...,
14,,MF,Angry,WIIIIWWUUUUUUMMM!!,
15,,,,"William jumps over the kitchen island, somehow clearing the cake as well, preserving its pristine form. John shrieks as he witnesses an airborne Wiwum,",
16,,,,"The MF tosses egg after egg at Wiwum who manages to dodge every single one of them, leaving the poor unfertilized chicken embryos to paint the ceiling yellow.",
17,,,,Wiwum bonks the MF over the head with his frying pan with as much ease as Mario stomping on a Goomba.,
18,,Wiwum,Happy,...,
19,,MF,Sad,Waaaahh...,
20,,,,"MF falls forward, landing on the floor with a hard thump as Wiwum stands above him.",
21,,,,William turns on the stove and places his frying pan on a burner. He nonchalantly pours some oil in a pan.,
22,,,,"The MF uses all his remaining strength to reach for his egg carton, opening it to find the final egg. In a last ditch attempt to stop his foe, he fires his final bullet.",
23,,MF,Angry,GRAAAAHHH!!,
24,,,,"Without looking, Wiwum catches it. The MF's eyes widen in disbelief.",
25,,,,"To add insult to injury, Wiwum cracks the egg into the pan. One-handed. The satisfying sizzle bounces off the kitchen walls, signifying the end of a hard-fought battle.",
26,,,,"Wiwum-3, MF-0.",
27,,MF,Sad,Nyoooooo....,
28,,Wiwum,Happy,...,
29,,You,,...,
30,,,,Did all that really just happen or did you disassociate too hard?,
31,,MF,Sad,"Quinoa, you have to stop him!",
32,,You,,Stop him from what? Making breakfast?,
33,,MF,Angry,No! How is this breakfast? Does this LOOK like breakfast?,
34,,MF,Sad,"But I mean, I guess it sorta does though... especially since it's suppose to BE breakfast?",
35,,You,,John...,
36,,MF,Happy,But it's not breakfast but in a way it could be because of prior events involving that essay I wrote in sixth grade that I got top score in but - ,
37,,You,,John.,
38,,MF,Angry,It SHOULDN'T be but right now it is which is -,
39,,You,,JOHN MF DINO.,
40,,MF,Sad,...,
41,,MF,Sad,Why are you yelling at me? Wiwum's the one trying to dip cake in eggs!,
42,,,,"Ah, the answer you needed... As if it even made any sense.",
43,,,,You turn to Wiwum who just finished plating his egg.,
44,,Wiwum,Neutral,Bread and eggs.,
45,,,,"To someone on the outside, this wouldn't have helped. Unfortunately (or fortunately, depending how you look at it), you knew exactly what he was talking about.",
46,,,,"The great ""Cake is Bread"" debate of the Average Holy Haters til the End server that somehow took place in the genshin-sinners channel at 4 in the morning.",
47,,,,The fact that it took place at 4 in the morning and involved the only MF you know are the only things that made sense of the event.,
48,,,,A historical moment in your group server for it gave birth to the cursed thread shower-thoughts where our intrusive thoughts win.,
49,,,,"However, it also gave birth to the horrible act Wiwum is hellbent on committing: dipping cake in eggs as though it were a toasted piece of bread.",
50,,,,"Neither John or Bex will budge on their stance in the debate, but you think they both agree that this is wrong.",
48,,,,But do you?,Yes / No
49,Yes,,,You help John off the floor.,
50,,You,,"I may not be the most fond of chocolate, but I don't think it deserves such a yolky fate, William.",
51,,Wiwum,Sad,...,
52,,MF,Happy,Thank you. ,
53,,MF,Neutral,"Now hand over the eggs, Wiwum.",
54,,Wiwum,Sad,...,
55,,MF,Happy,Please?,
56,,,,Wiwum reaches for the cake. You block him. Never in your life did you think you would be defending a chocolate cake from your best friend.,
57,,You,,"I'm sorry, William, but I can't let you do this to yourself!",
58,,,,"The MF darts to the otherside of the cake, picking it up as careful as he can in a hurry.",
59,,MF,Sad,"It's not worth it, Wiwum! We're doing this for your own good!",
60,,You,,Think about the stomachache you'll get!,
61,,Wiwum,Neutral,John has tums.,
62,,MF,Neutral,"Oh yeah, I do have tums.",
63,,You,,"Goddammit, John!",
64,,MF,Sad,But it's true!,
49,No,,,You step over John to stand next to William.,
50,,You,,"Let him have his breakfast, John",
51,,Wiwum,Happy,!,
52,,MF,Angry,What?,
53,,You,,Wiwum's a grown man who can make his own decisions and clearly he's hungry so he is going to eat.,
54,,MF,Angry,Yeah. He's going to eat CHOCOLATE CAKE DIPPED IN EGGS.,
55,,You,,"Noooo, bread dipped in eggs. Cake is just a form of bread after all and bread goes well with eggs.",
56,,MF,Angry,You know that's not what I meant.,
57,,You,,"I bet the bread would taste better toasted, Wiwum.",
58,,Wiwum,Happy,I think you make a fair point.,
59,,,,"As Wiwum reaches for the cake, John scrambles to stand up, lunging himself between the cake and William.",
60,,MF,Angry,No way. This is perfectly good cake and I'm not letting you ruin it,
61,,You,,I meaaann.... it's chocolate though soooo...,
62,,MF,Angry,IT'S STILL A GOOD CAKE.,
63,,,,The MF turns and quickly picks up the cake with as much care he could spare.,
65,,,,John runs away with the cake with William in tow.,
66,,,,"Well, he sort of runs away. It's more like they're chasing each other around the kitchen island. It feels like you're watching a Tom and Jerry episode.",
