Route Key,Making glue but everything that could go wrong Goes Wrong,,,,
Setting,Carlos' room,,,,
ID,Route,Speaker Name,Sprite,Text,Choices
0,,,,"For the sake of this storyline, you do still have your flute and you bring it with you to Carlos' place.",
1,,,,"When you arrive, Michael immediately drags you to Carlos' room without any explanation.",
2,,,,You are greeted by a sorry sight.,
3,,,,"Carlos is hunched over at his desk, a dazed look in his eyes. His monitor displays an unfinished song in Fruity Loops.",
4,,,,"A single, downright awful note repeats itself over and over again. It's the only sound that fills the room besides an occasional -",
5,,Carlos,Sad,Ehhhhh....,
6,,,,- from Carlos... A broken man.,
7,,You,,... Is he okay?,
8,,Mike,Neutral,Does this look okay?,
9,,You,,"No, not at all.",
10,,,,"In fact, the whole room felt dismal save for Misha sleeping peacefully on Carlos' bed, comfy and all sprawled out as if she owned the whole space.",
11,,,,"You very much want to pet her, but first you must rescue your good friend from this sticky glue hell. Plus, he probably wants her to stay asleep. The cute little troublemaker.",
12,,,,"Mike pauses the ""music,"" providing temporary solace from the mindnumbing loop.",
13,,Mike,Neutral,"Alright, guy, let's take a minute.",
14,,Carlos,Sad,I can't bro... I can't... I'm overloaded...,
15,,Carlos,Angry,WITH FUCKING GLUE! Nothing is working but all I got is GLUE but it AIN'T RIGHT so it's just GLUE ON SHIT GLUE ON MORE GLUE and I'm MAD ON MAD ON MAD.,
16,,Mike,Sad,"I know, bro... I know.",
17,,Mike,Happy,But it's okay now because Quinoa is here with her flute.,
18,,,,Mike gestures toward you. You happily wave your flute in response.,
19,,Carlos,Happy,Quinoa! This is perfect!,
20,,You,,"Wait, so... you guys are making glue music?",
21,,Carlos,Sad,Yep...,
22,,Mike,Sad,Yeah...,
23,,You,,Why?,
24,,Carlos,Neutral,"Because we love it, duh. C'mon, Quinoa, I thought you knew us well.",
25,,,,He sounds an uncle of a friend of yours.,
26,,You,,"You always say, ""TURN THAT SHIT OFF,"" whenever it's playing though.",
27,,Carlos,Happy,"Whaaaaa? Haha, pfft, I've never said that. What are you talking aboooout... Hahaha... Right, Mike?",
28,,Mike,Happy,Yeah!,
29,,Mike,Sad,"Come on, Quinoa, putting words in your friends' mouths now? Kinda fucked up.",
30,,Carlos,Sad,"Yeah, Quinoa, why would you do that? Being a real meanie bombinie right now...",
31,,You,,Nooooo...,
32,,Mike,Angry,Can't we just make music in peace without being JUDGED?,
33,,You,,"Of course, you can! I just - ",
34,,Mike,Happy,Cool! Then let's get to playing that flute.,
35,,Carlos,Happy,"Alright, bro, I'm ready. You can start whenever, Quinoa.",
36,,You,,What? I haven't played this in years!,
